tag,experiment,location,treatment,notes
20,10K,Baywater,FW 35C,white cattle tags on mesh bags
19,10K,Baywater,35C,
18,10K,Baywater,PolyIC,
17,10K,Baywater,FW 35C,
16,10K,Baywater,Control,
