purple.tag,tag.20250820,source.bag,treatment,starting.oysters,alive.20250820,notes,survival
1,400,75,FW 35C,150,78,,0.52
2,328,75,FW 35C,150,88,,0.5866666666666667
3,304,75,FW 35C,150,46,,0.30666666666666664
4,301,76,FW 35C,150,78,,0.52
5,306,76,FW 35C,150,67,,0.44666666666666666
6,318,76,FW 35C,150,94,,0.6266666666666667
7,311,47,35C,150,69,,0.46
8,309,47,35C,150,52,,0.3466666666666667
9,316,47,35C,150,101,,0.6733333333333333
10,315,30,35C,150,22,,0.14666666666666667
11,319,30,35C,150,47,,0.31333333333333335
12,317,30,35C,150,83,,0.5533333333333333
13,NA,49,Immune,150,7,,0.04666666666666667
14,305,49,Immune,150,38,,0.25333333333333335
15,302,49,Immune,150,7,,0.04666666666666667
16,NA,50,Immune,150,4,,0.02666666666666667
17,NA,50,Immune,150,0,,0
18,303,50,Immune,150,49,,0.32666666666666666
19,NA,66,FW,150,6,,0.04
20,312,66,FW,150,113,,0.7533333333333333
21,NA,66,FW,150,6,,0.04
22,307,56,FW,150,79,,0.5266666666666666
23,308,56,FW,150,71,,0.47333333333333333
24,314,56,FW,150,86,,0.5733333333333334
25,NA,37,Control,150,NA,bag was open,NA
26,329,37,Control,150,102,,0.68
27,310,37,Control,150,19,,0.12666666666666668
28,313,36,Control,150,98,,0.6533333333333333
29,320,36,Control,150,86,,0.5733333333333334
30,330,36,Control,150,18,,0.12
